order_id,order_number,customer_id,order_date,status,subtotal,discount_percent,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,promotion_id,notes
57,ORD-20230407-00057,269,2023-04-07,entregado,2217.37,1,90,465.65,2750.85,paypal,express,,
58,ORD-20240724-00058,180,2024-07-24,pendiente,1072.93,18,210,225.32,1315.12,credit_card,standard,,
59,ORD-20230319-00059,62,2023-03-19,enviado,5656.44,1,140,1187.85,6927.73,credit_card,pickup,,
60,ORD-20240717-00060,113,2024-07-17,cancelado,1017.84,9,360,213.75,1499.98,paypal,standard,,
61,ORD-20250514-00061,269,2025-05-14,pendiente,2078.29,15,80,436.44,2282.99,cash_on_delivery,same_day,,
62,ORD-20251014-00062,57,2025-10-14,enviado,3256.63,8,380,683.89,4059.99,paypal,standard,,
63,ORD-20230424-00063,65,2023-04-24,procesando,1606.44,9,460,337.35,2259.21,credit_card,same_day,10,Nota del cliente: Llamar antes
64,ORD-20230212-00064,68,2023-02-12,enviado,1915.4,3,310,402.23,2570.17,bank_transfer,same_day,7,Nota del cliente: Entregar por la tarde
65,ORD-20240522-00065,235,2024-05-22,enviado,2113.63,16,100,443.86,2319.31,paypal,standard,7,
66,ORD-20240730-00066,327,2024-07-30,procesando,2659.82,2,90,558.56,3255.18,bank_transfer,pickup,,
67,ORD-20230303-00067,134,2023-03-03,procesando,183.93,12,150,38.63,350.49,credit_card,pickup,,
68,ORD-20250622-00068,87,2025-06-22,enviado,1063.86,4,10,223.41,1254.72,cash_on_delivery,standard,5,
69,ORD-20231004-00069,3,2023-10-04,cancelado,6268.29,10,260,1316.34,7217.8,cash_on_delivery,same_day,5,
70,ORD-20250329-00070,137,2025-03-29,enviado,760.32,13,340,159.67,1161.15,bank_transfer,express,2,
71,ORD-20251210-00071,183,2025-12-10,entregado,443.29,6,120,93.09,629.78,cash_on_delivery,standard,,
72,ORD-20250315-00072,292,2025-03-15,enviado,4736.75,6,460,994.72,5907.27,cash_on_delivery,pickup,,
73,ORD-20240622-00073,18,2024-06-22,enviado,2191.35,17,470,460.18,2749,paypal,pickup,10,
74,ORD-20230303-00074,312,2023-03-03,entregado,1106.88,13,420,232.44,1615.43,bank_transfer,express,,
75,ORD-20250222-00075,21,2025-02-22,entregado,1515.41,6,20,318.24,1762.73,cash_on_delivery,pickup,8,Nota del cliente: Entregar por la tarde
76,ORD-20240516-00076,119,2024-05-16,enviado,2603.15,8,270,546.66,3211.56,debit_card,standard,,
77,ORD-20251004-00077,302,2025-10-04,entregado,444.81,1,100,93.41,633.77,cash_on_delivery,pickup,,
78,ORD-20250727-00078,221,2025-07-27,enviado,3332.96,2,200,699.92,4166.22,bank_transfer,standard,,Nota del cliente: Dejar en portería
79,ORD-20251203-00079,48,2025-12-03,enviado,4253.02,20,330,893.13,4625.55,paypal,pickup,6,
80,ORD-20240118-00080,216,2024-01-18,pendiente,883.25,8,30,185.48,1028.07,paypal,express,,
81,ORD-20230827-00081,35,2023-08-27,enviado,4338.31,2,190,911.05,5352.59,debit_card,pickup,,Nota del cliente: Entregar por la tarde
82,ORD-20250205-00082,48,2025-02-05,pendiente,4496.64,8,40,944.29,5121.2,credit_card,standard,,
83,ORD-20231109-00083,222,2023-11-09,procesando,528.2,2,370,110.92,998.56,debit_card,standard,,
84,ORD-20250118-00084,213,2025-01-18,entregado,1679.78,18,50,352.75,1780.17,cash_on_delivery,pickup,,
85,ORD-20230109-00085,120,2023-01-09,entregado,1658.43,11,180,348.27,2004.27,debit_card,standard,6,
86,ORD-20230810-00086,267,2023-08-10,cancelado,2131.59,6,250,447.63,2701.32,credit_card,standard,8,
87,ORD-20230807-00087,39,2023-08-07,enviado,618.56,9,340,129.9,1032.79,debit_card,express,,
88,ORD-20230117-00088,122,2023-01-17,cancelado,1702.5,20,460,357.53,2179.53,bank_transfer,pickup,,
89,ORD-20250502-00089,67,2025-05-02,enviado,1208.85,7,70,253.86,1448.09,credit_card,express,,
90,ORD-20231208-00090,62,2023-12-08,procesando,1200.44,2,370,252.09,1798.52,cash_on_delivery,pickup,8,Nota del cliente: Envolver para regalo
91,ORD-20250724-00091,167,2025-07-24,enviado,3495.39,2,370,734.03,4529.51,cash_on_delivery,same_day,,
92,ORD-20240210-00092,279,2024-02-10,enviado,763.17,9,480,160.27,1334.75,paypal,express,,
93,ORD-20230922-00093,298,2023-09-22,cancelado,1712.44,7,300,359.61,2252.18,paypal,standard,,
94,ORD-20230305-00094,169,2023-03-05,pendiente,3985.04,6,250,836.86,4832.8,debit_card,same_day,,
95,ORD-20250115-00095,197,2025-01-15,pendiente,125.52,2,330,26.36,479.37,debit_card,express,,
96,ORD-20250219-00096,44,2025-02-19,enviado,302.93,8,120,63.62,462.32,bank_transfer,standard,,
97,ORD-20240730-00097,187,2024-07-30,cancelado,6626.03,14,0,1391.47,7089.86,paypal,express,,
98,ORD-20250209-00098,7,2025-02-09,entregado,728.36,12,40,152.96,833.92,paypal,standard,,
99,ORD-20230329-00099,9,2023-03-29,procesando,1009.98,9,70,212.1,1201.18,debit_card,pickup,,
100,ORD-20251004-00100,103,2025-10-04,entregado,2357.3,1,450,495.03,3278.76,credit_card,standard,,
101,ORD-20230428-00101,249,2023-04-28,enviado,4189.94,6,440,879.89,5258.43,cash_on_delivery,express,,
102,ORD-20240429-00102,269,2024-04-29,cancelado,2894.38,2,280,607.82,3724.31,debit_card,express,,Nota del cliente: Envolver para regalo
103,ORD-20230228-00103,206,2023-02-28,cancelado,198.82,18,90,41.75,294.78,debit_card,standard,,
104,ORD-20230123-00104,130,2023-01-23,entregado,2400.23,20,470,504.05,2894.23,cash_on_delivery,pickup,,
105,ORD-20251015-00105,22,2025-10-15,pendiente,190.19,17,30,39.94,227.8,paypal,pickup,,
106,ORD-20250201-00106,45,2025-02-01,enviado,1857.4,20,180,390.05,2055.97,bank_transfer,standard,,
107,ORD-20250504-00107,295,2025-05-04,cancelado,338.44,17,450,71.07,801.98,cash_on_delivery,same_day,4,Nota del cliente: Envolver para regalo
108,ORD-20230314-00108,162,2023-03-14,procesando,1179.2,6,150,247.63,1506.08,cash_on_delivery,express,6,
109,ORD-20251128-00109,222,2025-11-28,cancelado,3951.84,11,20,829.89,4367.03,paypal,pickup,,
110,ORD-20250202-00110,224,2025-02-02,procesando,882.39,5,190,185.3,1213.57,credit_card,express,,
111,ORD-20250827-00111,325,2025-08-27,enviado,1209.16,12,140,253.92,1457.98,bank_transfer,pickup,,
112,ORD-20250510-00112,67,2025-05-10,entregado,2003.59,1,340,420.75,2744.3,debit_card,standard,,
113,ORD-20230710-00113,307,2023-07-10,pendiente,4615,9,200,969.15,5368.8,bank_transfer,standard,,
114,ORD-20240801-00114,291,2024-08-01,entregado,684.9,2,200,143.83,1015.03,credit_card,express,,
115,ORD-20250316-00115,270,2025-03-16,entregado,3324.6,7,370,698.17,4160.05,credit_card,pickup,,
116,ORD-20250725-00116,85,2025-07-25,pendiente,1902.52,1,440,399.53,2723.02,cash_on_delivery,same_day,,Nota del cliente: Dejar en portería
117,ORD-20231227-00117,271,2023-12-27,procesando,2581.42,0,160,542.1,3283.52,credit_card,standard,,
118,ORD-20240304-00118,78,2024-03-04,procesando,945.54,2,440,198.56,1565.19,credit_card,same_day,,
119,ORD-20240819-00119,233,2024-08-19,cancelado,4529.66,12,270,951.23,5207.33,paypal,standard,8,
120,ORD-20250818-00120,156,2025-08-18,enviado,1414.46,13,280,297.04,1807.62,debit_card,pickup,,
121,ORD-20230603-00121,91,2023-06-03,procesando,4447.42,13,40,933.96,4843.22,debit_card,express,,
122,ORD-20250531-00122,231,2025-05-31,entregado,3590.26,17,370,753.95,4103.87,cash_on_delivery,pickup,9,
123,ORD-20230514-00123,315,2023-05-14,cancelado,1155.62,17,90,242.68,1291.84,cash_on_delivery,standard,,
124,ORD-20250112-00124,178,2025-01-12,entregado,1114.51,13,70,234.05,1273.67,paypal,pickup,10,
125,ORD-20241120-00125,269,2024-11-20,pendiente,1377.06,6,280,289.18,1863.62,paypal,standard,,Nota del cliente: Dejar en portería
126,ORD-20230427-00126,62,2023-04-27,enviado,3052.84,13,40,641.1,3337.07,paypal,standard,8,Nota del cliente: Dejar en portería
127,ORD-20230927-00127,19,2023-09-27,enviado,1573.33,6,400,330.4,2209.33,cash_on_delivery,pickup,1,
128,ORD-20250628-00128,285,2025-06-28,procesando,2040.79,9,460,428.57,2745.69,credit_card,pickup,10,Nota del cliente: Entregar por la tarde
129,ORD-20250813-00129,237,2025-08-13,enviado,2616.68,19,410,549.5,3079.01,paypal,pickup,,
130,ORD-20250707-00130,18,2025-07-07,pendiente,837.76,1,370,175.93,1375.31,credit_card,pickup,,
131,ORD-20250419-00131,323,2025-04-19,enviado,534.89,18,260,112.33,810.94,cash_on_delivery,standard,,
132,ORD-20250926-00132,208,2025-09-26,enviado,5299.1,18,60,1112.81,5518.07,bank_transfer,express,,
133,ORD-20230103-00133,12,2023-01-03,procesando,3074.19,16,250,645.58,3477.9,credit_card,same_day,,
134,ORD-20250518-00134,164,2025-05-18,enviado,19.77,14,80,4.15,101.15,paypal,pickup,,Nota del cliente: Envolver para regalo
135,ORD-20240429-00135,319,2024-04-29,entregado,4579.61,0,240,961.72,5781.33,debit_card,same_day,,
136,ORD-20250713-00136,153,2025-07-13,cancelado,1891.75,16,430,397.27,2416.34,cash_on_delivery,same_day,,
137,ORD-20250123-00137,126,2025-01-23,procesando,759.26,1,290,159.44,1201.11,credit_card,express,6,Nota del cliente: Llamar antes
138,ORD-20250329-00138,222,2025-03-29,procesando,1571.81,2,250,330.08,2120.45,paypal,same_day,10,
139,ORD-20241231-00139,128,2024-12-31,procesando,2274.45,11,220,477.63,2721.89,paypal,pickup,6,
140,ORD-20240705-00140,130,2024-07-05,pendiente,3619.64,14,360,760.12,4233.01,paypal,express,,Nota del cliente: Entregar por la tarde
141,ORD-20250610-00141,312,2025-06-10,cancelado,2481.52,18,310,521.12,2865.97,credit_card,same_day,,
142,ORD-20240121-00142,129,2024-01-21,procesando,1716.27,14,90,360.42,1926.41,paypal,standard,,Nota del cliente: Envolver para regalo
143,ORD-20250717-00143,280,2025-07-17,enviado,2157.67,2,190,453.11,2757.63,cash_on_delivery,express,5,
144,ORD-20240415-00144,30,2024-04-15,cancelado,2817.85,2,280,591.75,3633.24,paypal,same_day,,
145,ORD-20230504-00145,308,2023-05-04,pendiente,859.31,14,340,180.46,1259.47,credit_card,standard,,Nota del cliente: Dejar en portería
146,ORD-20250311-00146,64,2025-03-11,pendiente,3669.82,18,360,770.66,4139.91,paypal,pickup,,
147,ORD-20230129-00147,145,2023-01-29,pendiente,1135.05,4,80,238.36,1408.01,credit_card,same_day,,Nota del cliente: Llamar antes
148,ORD-20230126-00148,162,2023-01-26,procesando,193.88,19,250,40.71,447.75,credit_card,standard,,
149,ORD-20250824-00149,106,2025-08-24,cancelado,2628.65,2,240,552.02,3368.1,debit_card,express,,
150,ORD-20250426-00150,328,2025-04-26,enviado,3246.65,13,180,681.8,3686.39,debit_card,same_day,,
151,ORD-20240504-00151,149,2024-05-04,entregado,2193.07,9,380,460.54,2836.23,bank_transfer,same_day,1,
152,ORD-20230413-00152,247,2023-04-13,pendiente,2705.8,19,60,568.22,2819.92,credit_card,pickup,,
153,ORD-20230614-00153,300,2023-06-14,pendiente,1629.87,15,490,342.27,2217.66,paypal,express,,
154,ORD-20230819-00154,109,2023-08-19,entregado,3018.93,5,260,633.98,3761.96,bank_transfer,express,,
155,ORD-20251019-00155,257,2025-10-19,entregado,3450.84,13,420,724.68,4146.91,paypal,standard,,
156,ORD-20230717-00156,119,2023-07-17,enviado,167.42,12,90,35.16,272.49,debit_card,pickup,,
157,ORD-20250416-00157,279,2025-04-16,pendiente,5522.94,15,70,1159.82,5924.32,bank_transfer,express,7,
158,ORD-20240910-00158,149,2024-09-10,procesando,3759.37,8,470,789.47,4718.09,debit_card,express,5,
159,ORD-20240229-00159,176,2024-02-29,procesando,3332.32,12,0,699.79,3632.23,bank_transfer,pickup,10,
160,ORD-20240206-00160,261,2024-02-06,enviado,1475,5,440,309.75,2151,debit_card,same_day,1,
161,ORD-20250812-00161,255,2025-08-12,entregado,4185.71,15,450,879,4886.85,bank_transfer,standard,1,
162,ORD-20250214-00162,44,2025-02-14,pendiente,728.36,16,400,152.96,1164.78,paypal,pickup,,
163,ORD-20240918-00163,271,2024-09-18,enviado,449.93,16,170,94.49,642.43,debit_card,same_day,,
164,ORD-20240505-00164,266,2024-05-05,enviado,1527.3,4,190,320.73,1976.94,bank_transfer,standard,,
165,ORD-20240705-00165,117,2024-07-05,cancelado,3944.55,7,380,828.36,4876.79,cash_on_delivery,pickup,,
166,ORD-20241120-00166,224,2024-11-20,enviado,664.46,1,200,139.54,997.36,paypal,standard,,
167,ORD-20230608-00167,301,2023-06-08,enviado,3653.94,5,190,767.33,4428.57,bank_transfer,same_day,7,
168,ORD-20240409-00168,255,2024-04-09,procesando,176.68,19,230,37.1,410.21,credit_card,same_day,,
169,ORD-20240423-00169,229,2024-04-23,entregado,742.74,15,240,155.98,1027.31,paypal,same_day,,
170,ORD-20250415-00170,305,2025-04-15,enviado,861.61,2,230,180.94,1255.32,bank_transfer,express,,Nota del cliente: Envolver para regalo
171,ORD-20230125-00171,328,2023-01-25,pendiente,425.58,19,420,89.37,854.09,debit_card,express,,
172,ORD-20230910-00172,229,2023-09-10,procesando,3285.09,20,170,689.87,3487.94,bank_transfer,pickup,,
173,ORD-20240905-00173,62,2024-09-05,pendiente,3044.12,6,250,639.27,3750.74,paypal,same_day,7,
174,ORD-20230515-00174,224,2023-05-15,entregado,2779.34,9,320,583.66,3432.86,debit_card,standard,7,
175,ORD-20250423-00175,231,2025-04-23,cancelado,135.67,12,20,28.49,167.88,credit_card,pickup,,
176,ORD-20251119-00176,212,2025-11-19,entregado,2793.94,18,0,586.73,2877.76,credit_card,express,4,Nota del cliente: Envolver para regalo
177,ORD-20251113-00177,168,2025-11-13,pendiente,4156.03,6,370,872.77,5149.44,cash_on_delivery,express,,
178,ORD-20250915-00178,220,2025-09-15,enviado,2273.4,16,300,477.41,2687.07,bank_transfer,express,,Nota del cliente: Envolver para regalo
179,ORD-20231111-00179,120,2023-11-11,procesando,2369.5,18,460,497.6,2900.59,credit_card,pickup,7,
180,ORD-20240808-00180,12,2024-08-08,pendiente,3230.14,18,40,678.33,3367.04,debit_card,standard,,
181,ORD-20241006-00181,17,2024-10-06,entregado,2909.28,18,320,610.95,3316.56,credit_card,express,10,Nota del cliente: Dejar en portería
182,ORD-20230201-00182,286,2023-02-01,pendiente,4400.01,1,40,924,5320.01,debit_card,pickup,,
183,ORD-20230522-00183,307,2023-05-22,procesando,2129.98,14,170,447.3,2449.08,credit_card,same_day,,Nota del cliente: Llamar antes
184,ORD-20250730-00184,175,2025-07-30,enviado,2687.89,16,340,564.46,3162.29,credit_card,express,,
185,ORD-20250307-00185,240,2025-03-07,entregado,2445.78,18,350,513.61,2869.15,bank_transfer,same_day,1,
186,ORD-20230908-00186,243,2023-09-08,entregado,2134.69,16,460,448.28,2701.42,debit_card,pickup,,
187,ORD-20231204-00187,186,2023-12-04,enviado,1759.25,3,310,369.44,2385.91,paypal,express,6,
188,ORD-20230718-00188,248,2023-07-18,entregado,1413.65,5,140,296.87,1779.84,debit_card,express,4,
189,ORD-20230909-00189,333,2023-09-09,procesando,4418.13,8,360,927.81,5352.49,debit_card,standard,,
190,ORD-20230303-00190,17,2023-03-03,procesando,1267.2,17,140,266.11,1457.89,credit_card,same_day,,
191,ORD-20230307-00191,271,2023-03-07,procesando,477.77,19,10,100.33,497.32,paypal,express,,
192,ORD-20230301-00192,80,2023-03-01,entregado,1039.44,19,460,218.28,1520.23,cash_on_delivery,express,,
193,ORD-20240320-00193,138,2024-03-20,enviado,95.42,3,370,20.04,482.6,cash_on_delivery,express,,
194,ORD-20250627-00194,294,2025-06-27,entregado,4436.88,15,20,931.74,4723.09,cash_on_delivery,standard,,Nota del cliente: Entregar por la tarde
195,ORD-20240411-00195,75,2024-04-11,entregado,2205.03,11,340,463.06,2765.54,debit_card,same_day,2,
196,ORD-20240513-00196,174,2024-05-13,pendiente,3203.19,8,90,672.67,3709.6,credit_card,express,,
197,ORD-20231216-00197,94,2023-12-16,procesando,2014.75,10,10,423.1,2246.38,paypal,standard,4,Nota del cliente: Envolver para regalo
198,ORD-20240912-00198,131,2024-09-12,enviado,3326.77,1,60,698.62,4052.12,bank_transfer,express,4,
199,ORD-20250710-00199,71,2025-07-10,entregado,1068.77,10,50,224.44,1236.33,credit_card,standard,,Nota del cliente: Entregar por la tarde
200,ORD-20240328-00200,59,2024-03-28,enviado,2590.86,18,370,544.08,3038.59,paypal,standard,,Nota del cliente: Llamar antes
201,ORD-20240701-00201,317,2024-07-01,cancelado,2122.3,6,190,445.68,2630.64,credit_card,standard,,
202,ORD-20230411-00202,26,2023-04-11,enviado,957.31,11,100,201.04,1153.05,debit_card,pickup,1,Nota del cliente: Llamar antes
203,ORD-20230717-00203,171,2023-07-17,procesando,426.68,10,260,89.6,733.61,cash_on_delivery,pickup,8,
204,ORD-20241031-00204,43,2024-10-31,entregado,2049.89,17,470,430.48,2601.89,cash_on_delivery,same_day,,Nota del cliente: Llamar antes
205,ORD-20230512-00205,247,2023-05-12,cancelado,2538.55,11,390,533.1,3182.41,credit_card,express,,
206,ORD-20241126-00206,30,2024-11-26,pendiente,4371.4,16,180,917.99,4769.97,cash_on_delivery,express,,Nota del cliente: Dejar en portería
207,ORD-20241130-00207,277,2024-11-30,procesando,2720.72,18,170,571.35,2972.34,debit_card,standard,,
208,ORD-20230914-00208,42,2023-09-14,cancelado,600.76,16,430,126.16,1060.8,cash_on_delivery,express,,
209,ORD-20231202-00209,222,2023-12-02,enviado,5101.95,6,170,1071.41,6037.24,paypal,same_day,9,
210,ORD-20240204-00210,179,2024-02-04,enviado,2402.69,7,490,504.56,3229.06,bank_transfer,same_day,,
211,ORD-20251210-00211,97,2025-12-10,enviado,3113.35,0,500,653.8,4267.15,debit_card,same_day,,
212,ORD-20230215-00212,151,2023-02-15,cancelado,1039.3,16,320,218.25,1411.26,cash_on_delivery,standard,4,
213,ORD-20240810-00213,152,2024-08-10,entregado,4671.83,2,150,981.08,5709.47,cash_on_delivery,pickup,,
214,ORD-20240129-00214,265,2024-01-29,entregado,3717.46,15,430,780.67,4370.51,paypal,express,5,
215,ORD-20231206-00215,123,2023-12-06,enviado,1263.5,1,120,265.34,1636.21,cash_on_delivery,same_day,1,
216,ORD-20250518-00216,308,2025-05-18,pendiente,3768.05,11,70,791.29,4214.85,bank_transfer,pickup,,Nota del cliente: Dejar en portería
217,ORD-20251129-00217,296,2025-11-29,enviado,2243.5,7,380,471.14,2937.6,paypal,same_day,,
218,ORD-20230816-00218,40,2023-08-16,entregado,2698.39,6,50,566.66,3153.15,credit_card,pickup,,Nota del cliente: Llamar antes
219,ORD-20231231-00219,50,2023-12-31,entregado,1704.52,19,380,357.95,2118.61,credit_card,pickup,6,
220,ORD-20230202-00220,277,2023-02-02,cancelado,228.13,11,420,47.91,670.95,debit_card,standard,,
221,ORD-20240123-00221,332,2024-01-23,enviado,1565.92,8,430,328.84,2199.49,bank_transfer,pickup,,
222,ORD-20250117-00222,116,2025-01-17,entregado,953.18,12,170,200.17,1208.97,debit_card,standard,,
223,ORD-20250402-00223,292,2025-04-02,enviado,3189.02,16,190,669.69,3538.47,credit_card,pickup,,
224,ORD-20241003-00224,229,2024-10-03,pendiente,2487.22,16,150,522.32,2761.58,cash_on_delivery,standard,,
225,ORD-20251115-00225,19,2025-11-15,entregado,1960.6,5,410,411.73,2684.3,cash_on_delivery,standard,,
226,ORD-20241226-00226,33,2024-12-26,cancelado,2175,7,400,456.75,2879.5,bank_transfer,standard,,
227,ORD-20231129-00227,166,2023-11-29,pendiente,2864.73,14,440,601.59,3505.26,bank_transfer,standard,,
228,ORD-20240626-00228,62,2024-06-26,enviado,2781.7,4,150,584.16,3404.59,paypal,same_day,9,
229,ORD-20241018-00229,138,2024-10-18,enviado,2995.21,13,250,628.99,3484.82,bank_transfer,same_day,,
230,ORD-20250904-00230,314,2025-09-04,enviado,1108.7,8,110,232.83,1362.83,debit_card,pickup,2,
231,ORD-20250517-00231,132,2025-05-17,pendiente,3648.28,16,70,766.14,3900.7,paypal,same_day,8,
232,ORD-20230727-00232,149,2023-07-27,procesando,3400.62,1,180,714.13,4260.74,paypal,same_day,,
233,ORD-20231108-00233,213,2023-11-08,entregado,3387.54,14,490,711.38,4114.66,paypal,pickup,6,
234,ORD-20240313-00234,265,2024-03-13,enviado,39.38,5,0,8.27,45.68,cash_on_delivery,express,2,
235,ORD-20240124-00235,108,2024-01-24,enviado,2316.75,16,230,486.52,2662.59,credit_card,pickup,,Nota del cliente: Envolver para regalo
236,ORD-20230711-00236,295,2023-07-11,procesando,1111.74,20,480,233.47,1602.86,cash_on_delivery,same_day,,Nota del cliente: Llamar antes
237,ORD-20240806-00237,235,2024-08-06,cancelado,1702.5,6,260,357.53,2217.88,bank_transfer,standard,10,
238,ORD-20251207-00238,228,2025-12-07,enviado,2820.62,20,380,592.33,3228.83,debit_card,pickup,,
239,ORD-20251211-00239,65,2025-12-11,pendiente,3800.06,14,410,798.01,4476.06,debit_card,express,,
