inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
142,75,1,348,15,367,2024-05-23
143,76,1,181,33,302,2025-05-20
144,76,3,482,47,766,2025-10-26
145,77,2,136,33,406,2025-03-30
146,77,4,309,45,844,2025-11-20
147,78,3,303,38,201,2024-12-04
148,78,4,463,11,935,2024-07-18
149,79,4,36,44,305,2024-09-22
150,79,5,9,15,562,2025-10-14
151,79,2,322,30,569,2025-08-03
152,80,1,283,25,990,2024-09-06
153,80,5,271,31,565,2025-11-04
154,81,4,489,32,309,2024-01-19
155,82,2,258,46,287,2024-08-07
156,83,4,18,10,977,2025-12-02
157,83,2,495,46,497,2024-09-13
158,84,5,37,24,509,2024-04-06
159,84,3,387,41,738,2024-04-09
160,85,3,114,36,277,2025-01-27
161,85,5,355,49,488,2024-12-28
162,86,2,439,23,807,2024-10-14
163,86,5,343,11,825,2024-06-13
164,87,5,174,33,687,2025-06-15
165,87,4,476,24,846,2025-10-30
166,87,1,399,34,389,2025-10-09
167,88,4,418,46,861,2024-06-04
168,88,3,18,44,502,2025-07-21
169,88,2,1,26,900,2024-12-27
170,89,2,167,14,804,2024-12-27
171,90,5,28,12,848,2024-01-16
172,91,4,287,31,792,2024-10-18
173,92,4,186,39,823,2024-06-16
174,93,2,408,19,637,2025-09-04
175,93,2,133,23,415,2024-01-16
176,94,3,377,34,770,2024-09-13
177,95,2,253,13,542,2025-08-03
178,95,2,27,30,771,2024-05-15
179,96,2,317,18,612,2024-12-27
180,96,4,256,13,1000,2025-04-04
181,96,1,352,48,470,2025-03-13
182,97,5,317,29,846,2025-04-02
183,98,2,471,11,937,2024-06-18
184,99,2,498,20,424,2024-07-23
185,100,2,159,10,666,2024-09-02
