review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
81,25,8,4,Podría mejorar,El producto es correcto pero la entrega tardó.,true,12,2023-06-12
82,11,233,4,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",true,47,2023-05-13
83,84,274,1,Buena calidad,Muy buena calidad por el precio.,true,24,2025-10-28
84,92,17,2,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,40,2024-04-05
85,60,42,1,Satisfecho,Bueno pero esperaba un poco más.,false,37,2025-10-24
86,46,207,4,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",false,36,2023-10-16
87,70,280,4,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",true,32,2024-08-20
88,19,62,5,No tan bueno,Excelente relación calidad-precio.,false,46,2024-10-31
89,61,35,4,Podría mejorar,Llegó a tiempo y en perfecto estado.,true,33,2024-07-11
90,68,67,2,Cumple expectativas,Excelente relación calidad-precio.,true,16,2023-05-12
91,63,297,1,Cumple expectativas,Excelente relación calidad-precio.,true,32,2024-01-31
92,92,199,2,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,11,2024-11-30
93,27,273,1,Muy bueno,Cumple con lo prometido.,true,50,2025-09-23
94,50,209,2,Satisfecho,Llegó a tiempo y en perfecto estado.,true,13,2024-07-17
95,75,136,3,Podría mejorar,Cumple con lo prometido.,false,33,2025-10-12
96,48,94,2,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,38,2023-07-06
97,80,165,1,Podría mejorar,Excelente relación calidad-precio.,true,23,2025-01-17
98,44,64,1,Muy bueno,No cumplió mis expectativas.,true,26,2024-07-16
99,16,297,1,Podría mejorar,Excelente relación calidad-precio.,true,8,2023-10-10
100,16,41,3,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",true,32,2024-07-21
101,70,45,1,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,48,2023-06-19
102,83,249,4,Buena calidad,Excelente relación calidad-precio.,true,11,2025-11-24
103,46,160,2,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",true,44,2024-08-09
104,34,329,1,Excelente producto,Muy buena calidad por el precio.,true,34,2024-04-13
105,15,207,4,Buena calidad,No cumplió mis expectativas.,true,39,2023-11-22
106,64,114,1,Excelente producto,Muy buena calidad por el precio.,false,40,2023-03-09
107,38,132,4,Recomendado,Excelente relación calidad-precio.,true,46,2023-02-27
108,57,140,3,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",true,37,2023-08-10
109,30,188,2,Buena calidad,Muy buena calidad por el precio.,true,43,2023-03-13
110,28,188,1,Recomendado,No cumplió mis expectativas.,false,26,2024-04-21
111,68,98,3,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",false,18,2025-04-15
112,22,60,1,Excelente producto,Llegó a tiempo y en perfecto estado.,true,48,2024-12-26
113,23,164,1,Cumple expectativas,El producto es correcto pero la entrega tardó.,true,32,2024-07-13
114,72,140,4,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",true,50,2023-04-05
115,21,325,5,Excelente producto,Excelente relación calidad-precio.,false,17,2024-12-28
116,69,56,3,Podría mejorar,Cumple con lo prometido.,true,13,2025-11-27
117,56,245,2,Muy bueno,Muy buena calidad por el precio.,true,50,2024-02-18
118,81,327,3,Excelente producto,No cumplió mis expectativas.,false,47,2025-02-04
119,58,117,5,Cumple expectativas,Cumple con lo prometido.,false,46,2024-12-10
120,72,13,4,Muy bueno,Excelente relación calidad-precio.,true,30,2024-05-17
121,53,142,1,Cumple expectativas,No cumplió mis expectativas.,false,11,2024-02-06
122,75,243,2,Muy bueno,No cumplió mis expectativas.,true,24,2024-12-01
123,16,206,1,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",true,12,2025-11-15
124,28,222,3,Satisfecho,Excelente relación calidad-precio.,true,26,2023-09-06
125,36,186,1,Cumple expectativas,No cumplió mis expectativas.,true,20,2024-04-02
126,72,67,1,Excelente producto,Excelente relación calidad-precio.,true,49,2025-02-09
127,70,333,4,Recomendado,No cumplió mis expectativas.,false,2,2024-03-23
128,11,12,2,Cumple expectativas,Excelente relación calidad-precio.,false,6,2024-09-18
129,11,310,5,No tan bueno,Muy buena calidad por el precio.,true,36,2024-03-14
130,51,96,1,Satisfecho,Excelente relación calidad-precio.,true,15,2023-07-01
131,60,58,5,Excelente producto,Cumple con lo prometido.,true,35,2025-01-02
132,54,190,1,Muy bueno,Llegó a tiempo y en perfecto estado.,true,24,2023-10-26
133,46,39,2,Excelente producto,Cumple con lo prometido.,true,25,2023-10-25
134,54,236,1,Recomendado,El producto es correcto pero la entrega tardó.,false,9,2023-06-05
135,53,217,3,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",false,46,2024-07-09
136,41,318,5,No tan bueno,El producto es correcto pero la entrega tardó.,true,45,2025-11-14
137,10,319,2,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",false,42,2025-08-22
138,55,16,5,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,3,2024-08-30
139,43,81,3,Recomendado,Bueno pero esperaba un poco más.,true,37,2023-05-24
140,58,265,3,Recomendado,Llegó a tiempo y en perfecto estado.,true,16,2023-09-23
141,34,286,2,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",true,42,2025-03-20
142,88,69,4,Recomendado,Excelente relación calidad-precio.,true,11,2025-10-13
143,8,62,1,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,0,2025-03-31
144,30,141,2,Excelente producto,No cumplió mis expectativas.,false,34,2023-09-12
145,23,306,4,No tan bueno,Muy buena calidad por el precio.,false,5,2024-08-01
146,36,328,3,Muy bueno,Cumple con lo prometido.,true,50,2025-04-29
147,77,97,2,Cumple expectativas,Bueno pero esperaba un poco más.,true,5,2024-08-14
148,87,301,4,Cumple expectativas,Bueno pero esperaba un poco más.,true,50,2025-04-12
149,49,274,2,No tan bueno,Muy buena calidad por el precio.,true,2,2024-04-02
150,37,134,1,Excelente producto,Cumple con lo prometido.,true,10,2025-01-14
151,81,193,4,Podría mejorar,El producto es correcto pero la entrega tardó.,true,17,2023-11-30
152,70,293,5,No tan bueno,Excelente relación calidad-precio.,false,47,2025-06-22
153,57,228,4,No tan bueno,Llegó a tiempo y en perfecto estado.,true,15,2024-10-08
154,90,142,5,Satisfecho,Llegó a tiempo y en perfecto estado.,true,23,2023-05-06
155,2,154,3,Excelente producto,Cumple con lo prometido.,true,33,2025-07-28
156,8,192,5,No tan bueno,El producto es correcto pero la entrega tardó.,true,13,2024-12-19
157,45,277,4,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",true,40,2024-02-28
158,80,117,1,Buena calidad,Excelente relación calidad-precio.,false,33,2025-04-28
159,93,276,3,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",false,0,2025-10-15
160,54,332,3,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",false,38,2025-09-13
161,38,242,3,Recomendado,Muy buena calidad por el precio.,true,13,2025-08-05
162,94,21,1,Recomendado,Cumple con lo prometido.,true,41,2025-05-11
163,68,249,2,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,18,2023-03-28
164,71,74,4,Podría mejorar,El producto es correcto pero la entrega tardó.,true,50,2024-12-20
165,9,139,3,Podría mejorar,No cumplió mis expectativas.,false,24,2023-09-15
166,37,146,2,Recomendado,No cumplió mis expectativas.,true,6,2023-04-03
167,44,20,4,Buena calidad,Excelente relación calidad-precio.,true,20,2023-09-05
168,16,201,3,Cumple expectativas,Bueno pero esperaba un poco más.,true,21,2023-06-02
169,36,285,3,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,0,2023-08-25
170,52,127,1,Recomendado,Llegó a tiempo y en perfecto estado.,true,46,2023-12-05
171,84,193,2,Cumple expectativas,Excelente relación calidad-precio.,true,41,2025-10-08
172,83,331,3,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",true,35,2023-05-03
173,96,92,4,Podría mejorar,Llegó a tiempo y en perfecto estado.,true,41,2024-09-24
174,85,97,1,Cumple expectativas,Llegó a tiempo y en perfecto estado.,true,13,2023-03-01
175,26,156,5,Recomendado,Llegó a tiempo y en perfecto estado.,true,7,2025-02-06
176,62,322,1,Cumple expectativas,Muy buena calidad por el precio.,true,2,2025-04-07
177,52,329,5,Satisfecho,Cumple con lo prometido.,true,39,2024-12-21
178,38,312,2,Cumple expectativas,Llegó a tiempo y en perfecto estado.,true,48,2023-01-28
179,16,308,5,Recomendado,Cumple con lo prometido.,false,31,2025-06-05
180,55,33,1,Excelente producto,Bueno pero esperaba un poco más.,false,40,2025-01-22
181,92,34,1,Excelente producto,Llegó a tiempo y en perfecto estado.,true,31,2023-04-01
182,80,139,1,Satisfecho,Excelente relación calidad-precio.,false,43,2024-01-11
183,90,129,1,Buena calidad,Bueno pero esperaba un poco más.,true,50,2024-10-12
184,31,324,4,No tan bueno,Bueno pero esperaba un poco más.,false,37,2025-02-17
185,18,199,1,Muy bueno,Cumple con lo prometido.,false,49,2025-01-03
186,23,303,4,Excelente producto,Llegó a tiempo y en perfecto estado.,true,31,2025-10-30
187,70,253,3,Cumple expectativas,Excelente relación calidad-precio.,false,33,2024-06-05
188,35,17,3,Muy bueno,Cumple con lo prometido.,true,41,2023-12-03
189,15,288,3,Buena calidad,Cumple con lo prometido.,true,24,2024-08-03
190,17,182,1,Podría mejorar,Muy buena calidad por el precio.,true,43,2025-04-22
191,69,72,4,No tan bueno,El producto es correcto pero la entrega tardó.,false,26,2023-01-04
192,42,179,5,Podría mejorar,Bueno pero esperaba un poco más.,false,16,2025-02-28
193,12,291,4,Satisfecho,Bueno pero esperaba un poco más.,true,18,2025-10-13
194,34,329,1,Buena calidad,Llegó a tiempo y en perfecto estado.,true,42,2025-11-03
195,68,187,1,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",false,28,2024-04-07
196,42,75,5,Cumple expectativas,El producto es correcto pero la entrega tardó.,true,0,2023-05-19
197,30,173,2,Podría mejorar,No cumplió mis expectativas.,true,6,2025-03-16
198,27,75,4,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",false,22,2024-06-09
199,7,266,5,Recomendado,Excelente relación calidad-precio.,true,1,2025-08-25
200,51,287,4,Buena calidad,Bueno pero esperaba un poco más.,false,26,2023-08-26
